划分税种和核定收支	划分税种和核定收支是指根据当时的税种设<br>— 周黎安 · 《转型中的地方政府》 · p158	周黎安 转型中的地方政府 概念
预算外资金	预算外资金是指不纳入国家预算管理，由各部门、各地区、各单位根<br>— 周黎安 · 《转型中的地方政府》 · p167	周黎安 转型中的地方政府 概念
限责任	限责任，即属地所发生的任何事情都是地方主政官的行政责任，在这<br>— 周黎安 · 《转型中的地方政府》 · p170	周黎安 转型中的地方政府 概念
包干”制	包干”制，即以1987年财政决算参与分成的收入为基数，每年递增<br>— 周黎安 · 《转型中的地方政府》 · p174	周黎安 转型中的地方政府 概念
乡镇如果不能完成上缴任务	乡镇如果不能完成上缴任务，即使责任在税务机关（如征收不力<br>— 周黎安 · 《转型中的地方政府》 · p182	周黎安 转型中的地方政府 概念
省直管县	所谓“省直管县”，就是省级财政在政府间收支划分、转移支<br>— 周黎安 · 《转型中的地方政府》 · p183	周黎安 转型中的地方政府 概念
市刮县	带来了两个问题：一是所谓的“市刮县”，即市级政府截留、克扣上<br>— 周黎安 · 《转型中的地方政府》 · p183	周黎安 转型中的地方政府 概念
乡财县管	“乡财县管”是指县级财政部门直接管理并监督乡镇财政收支，实行<br>— 周黎安 · 《转型中的地方政府》 · p184	周黎安 转型中的地方政府 概念
进一步的研究表明	进一步的研究表明，即使在政治关联发生作用的时<br>— 周黎安 · 《转型中的地方政府》 · p195	周黎安 转型中的地方政府 概念
下级政府官员的任命	下级政府官员的任命，即具有集中的人事权。<br>— 周黎安 · 《转型中的地方政府》 · p196	周黎安 转型中的地方政府 概念
经常面临的国家治理的挑战	经常面临的国家治理的挑战，即所谓的“政治公有地悲剧”：每一个<br>— 周黎安 · 《转型中的地方政府》 · p202	周黎安 转型中的地方政府 概念
级管理”就	级管理”就是指在中央和地方各级党委之间，建立分工管理各级干部<br>— 周黎安 · 《转型中的地方政府》 · p211	周黎安 转型中的地方政府 概念
这里所谓的“准公司”性质	这里所谓的“准公司”性质是指地方<br>— 周黎安 · 《转型中的地方政府》 · p223	周黎安 转型中的地方政府 概念
闲不住的手	只“看得见的手”（有时也被称为“闲不住的手”）的影响和左右。<br>— 周黎安 · 《转型中的地方政府》 · p223	周黎安 转型中的地方政府 概念
神仙下凡	所谓的“神仙下凡”，即政府官员退休之后被企业延聘为高管或董<br>— 周黎安 · 《转型中的地方政府》 · p233	周黎安 转型中的地方政府 概念
层层加码	大，即所谓的“层层加码”，比如当一个经济增长目标经中央政府提<br>— 周黎安 · 《转型中的地方政府》 · p236	周黎安 转型中的地方政府 概念
赛是静态的	赛是静态的，即上级对官员进行的绩效考核是一次性的。<br>— 周黎安 · 《转型中的地方政府》 · p242	周黎安 转型中的地方政府 概念
断发散的情况	断发散的情况，即上一期增长快的地区下一期增长也快，而与官员激<br>— 周黎安 · 《转型中的地方政府》 · p244	周黎安 转型中的地方政府 概念
收敛的趋势	收敛的趋势，即上一期增长快的地区下一期增长率趋于下降。<br>— 周黎安 · 《转型中的地方政府》 · p244	周黎安 转型中的地方政府 概念
具特色的土地使用制度	具特色的土地使用制度，即土地收购储备出让制度，为杭州城市经济<br>— 周黎安 · 《转型中的地方政府》 · p255	周黎安 转型中的地方政府 概念
采用了城市经营的新思路	采用了城市经营的新思路，即组建一系列的政策性公司，以政府信用<br>— 周黎安 · 《转型中的地方政府》 · p256	周黎安 转型中的地方政府 概念
